,,,,,,,,,,,,,
,Fiscal Q,Start Date,End Date,Expected Production,Hiring Target,Total Reps OB (Net Attrition Forecast),,First Line Leaders,2nd Line Leaders,,Fiscal Q,First Line Leader,FLM / Rep Ratio
,FY26 Q1,1/1/26,4/30/2026,"$12,622",18,32,,2,0,,FY26 Q1,4,8.10
,FY26 Q2,5/1/2026,7/31/2026,"$16,988",21,50,,4,1,,FY26 Q2,7,7.09
,FY26 Q3,8/1/2026,10/31/2026,"$26,914",23,69,,8,2,,FY26 Q3,11,6.25
,FY26 Q4,11/1/2026,1/31/2027,"$37,747",28,92,,11,3,,FY26 Q4,15,6.16
,FY26 Total,,,"$94,272",91,92,,,,,,,
,FY27 Q1,2/1/2027,4/30/2027,"$50,528",32,118,,15,4,,,,
,FY27 Q2,5/1/2027,7/31/2027,"$64,522",35,144,,18,5,,,,
,FY27 Q3,8/1/2027,10/31/2027,"$80,502",38,172,,22,6,,,,
,FY27 Q4,11/1/2027,1/31/2028,"$97,179",41,201,,25,6,,,,
,FY27 Total,,,"$292,732",146,201,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,FY26 Summary,,,,,,,,,,,,
,Revenue Component,"ARR (1,000s)",Notes,,,,,,,,,,
,New Logo ARR Added,"$94,272",Bottoms up Model,,,,,,,,,,
,Renewal ARR,"$28,050",85% Annual Retention,,,,,,,,,,
,Upsell ARR,"$21,038",75% Upsell from existing Customers,,,,,,,,,,
,Self Serve,"$10,000",10M by EOY,,,,,,,,,,
,Total,"$153,359",,,,,,,,,,,
,,,,,,,,,,,,,
,FY27 Summary,,,,,,,,,,,,
,Revenue Component,"ARR (1,000s)",Notes,,,,,,,,,,
,New Logo ARR Added,"$292,732",Bottoms up Model,,,,,,,,,,
,Renewal ARR,"$130,355",85% Annual Retention,,,,,,,,,,
,Upsell ARR,"$84,731",65% Upsell from existing Customers,,,,,,,,,,
,Self Serve,"$15,000",15M by EOY,,,,,,,,,,
,Total,"$522,818",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Model Assumptions,,,,,,,,,,,,
,Assumes 22% AEs will attrit by the end of their first year. 50% by the end of their second year,,,,,,,,,,,,
,Enterprise AEs will ramp to $2.1M by end of year 1 & $3M by end of year 2,,,,,,,,,,,,
,Enterprise AEs will ramp to $1.9M by end of year 1 & $2.7M by end of year 2,,,,,,,,,,,,
,AEs have ramping assumptions for New Logo : Expansion Business,,,,,,,,,,,,
,         On Average AEs will do 70% of pure new logo ARR vs Expansion ARR,,,,,,,,,,,,
,         Expansion ARR will be mostly followup contracts for agents,,,,,,,,,,,,
,,,,,,,,,,,,,
,Other Questions,,,,,,,,,,,,
,"Of the Expansion Bucket, how many Account Managers do we need?",,,,,,,,,,,,
,Model out agent vs visbility ARR - plot land vs expand trajectory,,,,,,,,,,,,
,,,,,,,,,,,,,
,Leadership Layers,,,,,,,,,,,,
,Sales / Customer Acquistion,,,,,,,,,,,,
,1st Line Leader ratio -> 10:1,,,,,,,,,,,,
,2nd Line Leader Ratio -> 6: 1,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Target Headcount Plan,FY26,FY27,,,,,,,,,,
,AEs,92,201,,,,,,,,,,
,AE 1st Line Leaders,11,25,,,,,,,,,,
,AE 2nd Line Leaders,3,6,,,,,,,,,,
,EMs,75,254,,,,,,,,,,
,EM First Line Leaders,8,25,,,,,,,,,,
,EM 2nd Line Leaders,2,5,,,,,,,,,,
,AMs,53,178,,,,,,,,,,
,AM 1st Line Leaders,5,18,,,,,,,,,,
,AM 2nd Line Leaders,1,4,,,,,,,,,,