,,,,,,,,,,,,,,,,,,,,,
,Post-Sales - FY2027 Headcount Plan,,,,,,,,,,,,,,,,,,,,
,As of March 25 2026,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Headcount Summary,,,,,,,,,,,,,,,,,,,,
,,,,Q1 2026,Q1 2026,Q2 2026,Q2 2026,Q2 2026,Q3 2026,Q3 2026,Q3 2026,Q4 2026,Q4 2026,Q4 2026,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,FY2027
,Title,,,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,,Apr-26,Jul-26,Oct-26,Jan-27,,Jan-27
,,,,,,,,,,,,,,,,,,,,,
x,Post-Sales,,,,,,,,,,,,,,,,,,,,
,Engagement Manager,,,17,22,25,29,33,38,43,48,54,60,66,,22,33,48,66,,66
,Account Manager,,,3,15,17,19,21,23,25,27,29,31,33,,15,21,27,33,,33
,"Manager, Account Management",,,1,2,2,2,2,3,3,3,4,4,4,,2,2,3,4,,4
,"Manager, Engagement Management",,,0,1,2,3,3,3,4,4,5,5,5,,1,3,4,5,,5
,"Manager, Engagement Associate",,,0,0,0,0,0,0,1,1,1,1,1,,0,0,1,1,,1
,Agent Engineer,,,2,3,3,4,5,6,7,8,9,10,11,,3,5,8,11,,11
,Customer Strategy Lead,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Head of Customer Success,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Engagement Associate,,,2,3,3,4,4,5,5,6,6,7,7,,3,4,6,7,,7
,VP Customer Success,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Implementation Manager,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,"Manager, Agency Engagement",,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Customer Operations,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Revenue Engagement Manager,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1
,Total Post-Sales,,,30,51,57,66,73,83,93,102,113,123,132,,51,73,102,132,,132
,,,,,,,,,,,,,,,,,,,,,
,Net New Headcount,,,,,,,,,,,,,,,,,,,,
,,,,Q1 2026,Q1 2026,Q2 2026,Q2 2026,Q2 2026,Q3 2026,Q3 2026,Q3 2026,Q4 2026,Q4 2026,Q4 2026,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,FY2027
,Title,Avg OTE,,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,,Apr-26,Jul-26,Oct-26,Jan-27,,Jan-27
,,,,,,,,,,,,,,,,,,,,,
x,Post-Sales,,,,,,,,,,,,,,,,,,,,
,Engagement Manager,"200,000",,,5,3,4,4,5,5,5,6,6,6,,5,11,15,18,,49
,Account Manager,"250,000",,,12,2,2,2,2,2,2,2,2,2,,12,6,6,6,,30
,"Manager, Account Management","275,000",,,1,0,0,0,1,0,0,1,0,0,,1,0,1,1,,3
,"Manager, Engagement Management","225,000",,,1,1,1,0,0,1,0,1,0,0,,1,2,1,1,,5
,"Manager, Engagement Associate","200,000",,,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,,1
,Agent Engineer,"190,000",,,1,0,1,1,1,1,1,1,1,1,,1,2,3,3,,9
,Customer Strategy Lead,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Head of Customer Success,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Engagement Associate,"120,000",,,1,0,1,0,1,0,1,0,1,0,,1,1,2,1,,5
,VP Customer Success,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Implementation Manager,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,"Manager, Agency Engagement",,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Customer Operations,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Revenue Engagement Manager,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
,Total Post-Sales,,,,21,6,9,7,10,10,9,11,10,9,,21,22,29,30,,102