,Month,% Quota Carry,Million Quota Example
1,Month 1,0%,$0
2,Month 2,3%,"$30,000"
3,Month 3,8.33%,"$83,333"
4,Month 4,8.33%,"$83,333"
5,Month 5,8.33%,"$83,333"
6,Month 6,8.33%,"$83,333"
7,Month 7,8.33%,"$83,333"
8,Month 8,8.33%,"$83,333"
9,Month 9,8.33%,"$83,333"
10,Month 10,12.89%,"$128,889"
11,Month 11,12.89%,"$128,889"
12,Month 12,12.89%,"$128,889"
13,Month 13,8.33%,"$83,333"
14,Month 14,8.33%,"$83,333"
15,Month 15,8.33%,"$83,333"
16,Month 16,8.33%,"$83,333"
17,Month 17,8.33%,"$83,333"
18,Month 18,8.33%,"$83,333"
19,Month 19,8.33%,"$83,333"
20,Month 20,8.33%,"$83,333"
21,Month 21,8.33%,"$83,333"
22,Month 22,8.33%,"$83,333"
23,Month 23,8.33%,"$83,333"
24,Month 24,8.33%,"$83,333"
25,Month 25,8.33%,"$83,333"
26,Month 26,8.33%,"$83,333"
27,Month 27,8.33%,"$83,333"
28,Month 28,8.33%,"$83,333"
29,Month 29,8.33%,"$83,333"
30,Month 30,8.33%,"$83,333"
31,Month 31,8.33%,"$83,333"
32,Month 32,8.33%,"$83,333"
33,Month 33,8.33%,"$83,333"
34,Month 34,8.33%,"$83,333"
35,Month 35,8.33%,"$83,333"
36,Month 36,8.33%,"$83,333"
37,Month 37,8.33%,"$83,333"
38,Month 38,8.33%,"$83,333"
39,Month 39,8.33%,"$83,333"
40,Month 40,8.33%,"$83,333"
41,Month 41,8.33%,"$83,333"
42,Month 42,8.33%,"$83,333"
43,Month 43,8.33%,"$83,333"
44,Month 44,8.33%,"$83,333"
45,Month 45,8.33%,"$83,333"
46,Month 46,8.33%,"$83,333"
47,Month 47,8.33%,"$83,333"